trial,true_label,pred_label
1,3,3
2,0,0
3,1,1
4,2,2
5,0,0
6,1,1
7,3,3
8,2,2
9,2,2
10,1,1
11,3,3
12,0,0
13,3,3
14,1,1
15,2,2
16,0,0
17,1,1
18,3,3
19,2,2
20,0,0
21,3,3
22,0,0
23,1,1
24,2,2
25,1,1
26,0,0
27,2,2
28,3,3
29,1,1
30,2,2
31,3,3
32,0,0
33,2,2
34,0,0
35,3,3
36,1,1
37,0,0
38,2,2
39,3,3
40,1,1
41,3,3
42,2,2
43,1,1
44,0,0
45,3,3
46,2,2
47,0,0
48,1,1
49,0,0
50,3,3
51,2,2
52,1,1
53,1,1
54,0,0
55,2,2
56,3,3
57,0,0
58,1,1
59,3,3
60,2,2
61,3,3
62,0,0
63,2,2
64,1,1
65,0,0
66,3,3
67,2,2
68,1,1
69,0,0
70,1,1
71,3,3
72,2,2
73,2,2
74,3,3
75,1,1
76,0,0
77,0,0
78,1,1
79,3,3
80,2,2
81,3,3
82,1,1
83,0,0
84,2,2
85,0,0
86,1,1
87,2,2
88,3,3
89,1,1
90,3,3
91,0,0
92,2,2
93,2,2
94,3,3
95,0,0
96,1,1
97,0,0
98,1,1
99,3,3
100,2,2
101,3,3
102,0,0
103,1,1
104,2,2
105,0,0
106,1,1
107,3,3
108,2,2
109,1,1
110,2,2
111,3,3
112,0,0
113,3,3
114,0,0
115,1,1
116,2,2
117,0,0
118,2,2
119,1,1
120,3,3
121,3,3
122,2,2
123,1,1
124,0,0
125,1,1
126,0,0
127,2,2
128,3,3
129,1,1
130,2,2
131,0,0
132,3,3
133,0,0
134,3,3
135,2,2
136,1,1
137,0,0
138,2,2
139,1,1
140,3,3
141,0,0
142,3,3
143,2,2
144,1,1
145,0,0
146,2,2
147,1,1
148,3,3
149,3,3
150,0,0
151,1,1
152,2,2
153,2,2
154,3,3
155,0,0
156,1,1
157,2,2
158,3,3
159,0,0
160,1,1
