trial,true_label,pred_label
1,1,1
2,0,0
3,2,2
4,3,3
5,3,3
6,1,1
7,2,2
8,0,0
9,3,3
10,1,1
11,0,0
12,2,2
13,0,0
14,1,1
15,2,2
16,3,3
17,3,3
18,1,1
19,0,0
20,2,2
21,2,2
22,3,3
23,1,1
24,0,0
25,1,1
26,0,0
27,3,3
28,2,2
29,2,2
30,3,3
31,0,0
32,1,1
33,3,3
34,1,1
35,2,2
36,0,0
37,0,0
38,3,3
39,1,1
40,2,2
41,2,2
42,3,3
43,0,0
44,1,1
45,0,0
46,3,3
47,2,2
48,1,3
49,3,3
50,2,2
51,1,1
52,0,0
53,1,1
54,2,2
55,3,3
56,0,3
57,0,0
58,3,3
59,2,2
60,1,1
61,0,0
62,1,1
63,2,2
64,3,3
65,0,0
66,2,2
67,1,1
68,3,3
69,1,1
70,3,3
71,2,3
72,0,0
73,0,0
74,2,2
75,1,1
76,3,3
77,2,2
78,1,1
79,0,0
80,3,3
81,3,3
82,1,1
83,0,0
84,2,2
85,0,0
86,1,1
87,2,2
88,3,3
89,1,1
90,3,3
91,0,0
92,2,2
93,2,2
94,0,0
95,1,1
96,3,3
97,1,1
98,3,3
99,0,0
100,2,2
101,0,0
102,3,3
103,1,1
104,2,2
105,2,2
106,0,0
107,1,1
108,3,3
109,0,0
110,1,1
111,3,3
112,2,2
113,1,1
114,2,2
115,0,0
116,3,3
117,1,1
118,2,2
119,0,0
120,3,3
121,0,0
122,1,1
123,3,3
124,2,2
125,3,3
126,1,1
127,2,2
128,0,0
129,2,2
130,3,3
131,0,0
132,1,1
133,0,0
134,2,2
135,1,1
136,3,3
137,2,2
138,1,1
139,0,0
140,3,3
141,2,2
142,0,0
143,1,1
144,3,3
145,1,1
146,3,3
147,0,0
148,2,2
149,2,2
150,3,3
151,0,1
152,1,1
153,3,3
154,1,1
155,2,2
156,0,0
157,1,1
158,3,3
159,0,0
160,2,2
