trial,true_label_x,pred_label,win_global,theta_alpha,true_label_y
1,1,1,1,2.320811874639102e-06,1
2,1,1,2,1.9635882846926193e-06,1
3,1,1,3,2.2199106527171394e-06,1
4,0,0,4,2.1980734670055868e-06,0
5,0,0,5,2.994882984978425e-06,0
6,0,0,6,1.6644709150759983e-06,0
7,0,0,7,2.6161757578211545e-06,0
8,0,1,8,3.729024715250163e-06,0
9,0,1,9,2.551769731275365e-06,0
10,0,0,10,1.4621067558340208e-06,0
11,0,0,11,1.8611662929561943e-06,0
12,0,0,12,2.9293721159280225e-06,0
13,0,0,13,4.0371523856060136e-06,0
14,0,0,14,2.632323062405417e-06,0
15,0,0,15,3.6093593462691894e-06,0
16,0,0,16,1.88299207980136e-06,0
17,0,0,17,2.35778886372238e-06,0
18,0,0,18,2.6409402361453537e-06,0
19,0,0,19,8.27146986411423e-06,0
20,0,0,20,2.079093043036769e-06,0
21,0,0,21,1.6125866358512384e-06,0
22,0,0,22,3.845120510787081e-06,0
23,0,0,23,3.990376856412241e-06,0
24,0,0,24,3.228781236240375e-06,0
25,1,1,25,1.662540621272529e-06,1
26,1,1,26,2.6895730406041036e-06,1
27,1,1,27,1.5337170260142102e-06,1
28,0,0,28,1.3392269427340575e-06,0
29,0,0,29,1.2339080039539178e-06,0
30,0,0,30,1.5211943636118925e-06,0
31,0,0,31,2.3732035772273455e-06,0
32,0,0,32,2.1108844281445655e-06,0
33,0,0,33,2.2069552591045084e-06,0
34,0,0,34,1.486596984188521e-06,0
35,0,0,35,1.520160299677339e-06,0
36,0,0,36,1.91427141887955e-06,0
37,0,0,37,3.965507964719472e-06,0
38,0,0,38,3.7385009998121862e-06,0
39,0,0,39,3.4358919367789497e-06,0
40,0,0,40,2.522837330422738e-06,0
41,0,0,41,1.4415970596349896e-06,0
42,0,0,42,1.3302404548005162e-06,0
43,0,0,43,2.182178271007979e-06,0
44,0,0,44,2.38406986535587e-06,0
45,0,0,45,1.3132364510641068e-06,0
