trial,true_label,pred_label,theta_alpha
1,0,0,1.4019404149969683
2,1,1,1.9484367210581703
3,2,2,1.090723209935292
4,3,3,3.1959257242343875
5,0,0,0.4438202466422479
6,1,1,0.6380773033940127
7,3,3,0.4418000118432622
8,2,2,0.2351995866958765
9,0,0,0.7859470667303622
10,3,3,0.6838431969693416
11,1,1,0.8098725735256047
12,2,2,1.3206176539260568
13,3,3,1.0197507620607853
14,2,2,0.4827478770234212
15,0,0,0.4497436746526484
16,1,1,1.2650961009787445
17,0,0,1.3003779940004905
18,2,2,3.27245968007019
19,3,3,0.9471446977073776
20,1,1,0.3655556290647729
21,1,1,0.6455839416963666
22,2,2,0.6881535008218899
23,3,3,0.3162223532651145
24,0,0,0.239639653038029
25,2,2,0.7846586187162178
26,0,0,0.5681135880957873
27,1,1,0.5337671229872929
28,3,3,0.8667112690140476
29,3,3,0.8096412088336572
30,1,1,1.020519643638074
31,0,0,1.245244473129631
32,2,2,0.2017169105546719
33,3,3,0.5323029198116321
34,1,1,0.6278963092499205
35,0,0,0.9607053839907588
36,2,2,1.7017205906308008
37,1,1,0.5525305299911779
38,3,3,1.097977280202065
39,0,0,0.6336874729775053
40,2,2,0.7846943542511774
41,2,2,1.2718943916162355
42,0,0,1.211811962601294
43,1,1,1.580424193976169
44,3,3,2.588275800097426
45,1,1,2.4504589382329094
46,3,3,1.025720472494342
47,0,0,1.3597350461598527
48,2,2,0.4017313438106524
49,3,3,1.2651787699963106
50,1,1,0.1744355153883036
51,2,2,0.8479677688683832
52,0,0,0.8447328987503321
53,2,2,0.2068221315944155
54,3,3,1.0169907034618049
55,0,0,1.0593527312829298
56,1,1,0.4884361649340346
57,1,1,0.7851278370873764
58,3,3,0.5446564029877198
59,0,0,0.5594893182343605
60,2,2,0.4161008404217026
61,1,2,0.7578635073838915
62,2,2,0.6922769029190925
63,3,3,0.5066878633808637
64,0,0,0.5141951189030083
65,2,2,0.6657253264108426
66,0,0,1.3003633621607378
67,1,1,2.0126167705912015
68,3,3,1.103278281412856
69,2,2,1.0320281464008896
70,1,1,0.8646671674363703
71,3,3,1.2070484700964137
72,0,0,0.5167351234581682
73,1,1,0.879623637219769
74,0,0,1.604426232078993
75,2,2,0.2535822741788912
76,3,3,0.6856063987171159
77,2,2,0.8617973375647094
78,3,3,0.529335158173304
79,0,0,0.6951066291773946
80,1,1,1.183031523249055
81,3,3,0.8436651821812701
82,2,2,1.6923182724562411
83,1,1,0.5257023367845727
84,0,0,1.162696469567057
85,1,1,0.7559315048334263
86,2,2,0.5010045323310766
87,3,3,0.76780922084427
88,0,0,0.5165531397730985
89,1,1,0.5284465569577227
90,2,2,0.2706589088756244
91,3,3,1.255538561792743
92,0,0,0.6905142835289874
93,3,3,1.71693142874503
94,0,0,1.44533739247
95,2,2,1.3464162856354338
96,1,1,1.0141746722198528
97,1,1,0.8860412610898127
98,3,3,0.4122214638795577
99,2,2,0.2424665198137782
100,0,0,0.7091621251005101
101,1,1,1.105316970628718
102,0,0,0.4509593506254133
103,2,2,0.972465529067015
104,3,3,0.4321254901019433
105,0,0,1.1087690757391553
106,3,3,0.5129102580884117
107,1,1,0.4716994953332947
108,2,2,0.2752107443663595
109,1,1,0.9160674466588434
110,0,0,0.5381544394873953
111,3,3,0.5579454191791687
112,2,2,0.2913654442203147
113,1,1,1.1332248152845417
114,0,0,0.6716191423124069
115,3,3,0.743306771057412
116,2,2,1.0159097293937025
117,2,2,0.523710455035871
118,1,1,0.7185328607208257
119,0,0,0.5205545465680924
120,3,3,1.0974895000610974
121,3,3,0.9436827061122556
122,0,0,1.1075323032438769
123,2,2,0.285865004378055
124,1,1,1.198940840709919
125,2,2,0.5934426324997878
126,3,3,0.5610030298448724
127,1,1,1.8313795359576328
128,0,0,1.7160956961830824
129,1,1,1.9073973671448277
130,3,3,1.6326512954357943
131,2,2,0.5052882927559992
132,0,0,1.1344570712089797
133,1,1,1.0340291167807971
134,3,3,0.3363873223153306
135,2,2,0.7488957155922318
136,0,0,0.5264312014242643
