subject,run,trial,win_idx,theta_alpha,true_label,global_win
7,B0704E,1,1,9.633255726468703e-07,1,1
7,B0704E,1,2,9.810816731323124e-07,1,2
7,B0704E,1,3,1.351655755268167e-06,1,3
7,B0704E,2,1,2.4795986736652505e-06,0,4
7,B0704E,2,2,1.5106620482088696e-06,0,5
7,B0704E,2,3,2.6155342690198742e-06,0,6
7,B0704E,3,1,6.991731864515465e-07,0,7
7,B0704E,3,2,8.389239212504091e-07,0,8
7,B0704E,3,3,9.88194671389304e-07,0,9
7,B0704E,4,1,7.078731928594673e-07,0,10
7,B0704E,4,2,7.101781145340027e-07,0,11
7,B0704E,4,3,5.645422741563126e-07,0,12
7,B0704E,5,1,4.83013145724139e-07,0,13
7,B0704E,5,2,6.303779167870055e-07,0,14
7,B0704E,5,3,8.21367314890051e-07,0,15
7,B0704E,6,1,2.5353689955767792e-06,0,16
7,B0704E,6,2,2.042277405327431e-06,0,17
7,B0704E,6,3,1.1890606120524833e-06,0,18
7,B0704E,7,1,5.447831950539084e-07,0,19
7,B0704E,7,2,3.9710474047957414e-07,0,20
7,B0704E,7,3,5.271132594965384e-07,0,21
7,B0704E,8,1,5.363069267746769e-07,0,22
7,B0704E,8,2,4.91150763660633e-07,0,23
7,B0704E,8,3,6.12918350914813e-07,0,24
7,B0704E,9,1,1.6659522932027567e-06,0,25
7,B0704E,9,2,1.378007393848088e-06,0,26
7,B0704E,9,3,1.0064107970862524e-06,0,27
7,B0704E,10,1,2.8113120363256786e-07,0,28
7,B0704E,10,2,3.4313613713491695e-07,0,29
7,B0704E,10,3,4.699802111151298e-07,0,30
7,B0704E,11,1,1.2479064629790884e-06,0,31
7,B0704E,11,2,1.3927738855007185e-06,0,32
7,B0704E,11,3,9.569499571008233e-07,0,33
7,B0704E,12,1,8.132446384078805e-07,0,34
7,B0704E,12,2,6.846846283228824e-07,0,35
7,B0704E,12,3,8.788724145606606e-07,0,36
7,B0704E,13,1,1.06318836295909e-06,0,37
7,B0704E,13,2,1.1532328882831268e-06,0,38
7,B0704E,13,3,1.1362759081369306e-06,0,39
7,B0704E,14,1,6.593945008998992e-07,0,40
7,B0704E,14,2,8.51114852196934e-07,0,41
7,B0704E,14,3,9.511155234631636e-07,0,42
7,B0704E,15,1,4.807460939536128e-07,0,43
7,B0704E,15,2,5.159205058942851e-07,0,44
7,B0704E,15,3,6.255447624953027e-07,0,45
7,B0704E,16,1,4.258624659225829e-07,0,46
7,B0704E,16,2,6.468103652584126e-07,0,47
