trial,true_label,pred_label,label,theta_alpha,channel_idx
1,0,0,0,0.5605703804797493,11
2,1,1,1,0.1357435662428333,11
3,1,1,1,0.2188008911468345,11
4,0,0,0,0.7767529300087324,11
5,1,1,1,0.287934228673832,11
6,0,0,0,0.3211179738420952,11
7,1,1,1,0.2928637169085169,11
8,2,2,2,0.0759319455779506,11
9,1,1,1,0.4607481343200442,11
10,3,3,3,0.2032552264566124,11
11,0,0,0,1.0938050418841263,11
12,2,2,2,0.3111506008159371,11
13,1,1,1,0.3664593347125295,11
14,0,0,0,0.7369609376533761,11
15,3,3,3,0.1244743308064253,11
16,3,3,3,0.2041700041869133,11
17,3,3,3,0.104412196161364,11
18,3,3,3,0.181829401830567,11
19,3,3,3,0.1798799601377843,11
20,0,0,0,0.6032588088226937,11
21,2,2,2,0.1526348612618184,11
22,1,1,1,0.5839482822575722,11
23,0,0,0,0.4059170548448852,11
24,0,0,0,0.6971850711193756,11
25,2,2,2,0.267630978763906,11
26,3,3,3,0.2894578163839866,11
27,0,0,0,0.3667155957380948,11
28,2,2,2,0.4295194000316933,11
29,2,2,2,0.4809636762253103,11
30,2,2,2,0.1894838762534885,11
31,0,0,0,0.3290783741642885,11
32,1,1,1,0.3534309337896881,11
33,0,0,0,0.7846025088824381,11
34,1,1,1,0.2176551708585111,11
35,1,1,1,0.2299339253883713,11
36,0,0,0,0.5285357157563082,11
37,1,1,1,0.2834812732665438,11
38,2,2,2,0.1547596935675504,11
39,1,1,1,0.1290585360531732,11
40,2,2,2,0.5056291792201679,11
41,2,2,2,0.5445996665124828,11
42,3,3,3,0.1317726570599325,11
43,2,2,2,0.2310497592890653,11
44,2,2,2,0.3550431929154532,11
45,3,3,3,0.1374464999900861,11
46,3,3,3,0.1598963588299075,11
47,3,3,3,0.2438666658910128,11
48,3,3,3,0.270771083444752,11
49,3,3,3,0.1247661181253327,11
50,2,2,2,0.4818734999231633,11
51,1,1,1,0.3747097983321044,11
52,0,0,0,0.8564188807786046,11
53,0,0,0,0.9519272312791864,11
54,1,1,1,0.3219827239187565,11
55,2,2,2,0.2196447109788269,11
56,3,3,3,0.1364093449986052,11
57,1,1,1,0.9139669151838944,11
58,2,2,2,0.678676514520842,11
59,0,0,0,0.2887493967563691,11
60,0,0,0,0.4553940534201937,11
61,0,0,0,0.4526666629852606,11
62,3,3,3,0.2082663857431225,11
63,1,1,1,0.2436499937680726,11
64,1,1,1,0.1755677298365447,11
65,0,0,0,0.8307569631306514,11
66,0,0,0,0.2462830198089353,11
67,2,2,2,0.2649436150863992,11
68,0,0,0,0.3555785467195648,11
69,1,1,1,0.2852652804174614,11
70,3,3,3,0.2679622301836595,11
71,3,3,3,0.0760309294339456,11
72,2,2,2,0.6097567141188373,11
73,0,0,0,0.3336839757670923,11
74,3,3,3,0.5635440835120341,11
75,3,3,3,0.3051919750485417,11
76,1,1,1,0.1487787177244535,11
77,3,3,3,0.1231896197979807,11
78,3,3,3,0.1273849574379286,11
79,1,1,1,0.2567326807029355,11
80,0,0,0,0.9216134382955636,11
81,1,1,1,0.1770354548721031,11
82,2,2,2,0.3501314269103278,11
