trial,true_label,pred_label,theta_alpha
1,2,2,0.647132676894404
2,1,1,0.5204588404185428
3,0,0,0.8203510965091878
4,3,3,0.3788455804731551
5,3,3,0.3955294004121067
6,2,2,0.2576781732163611
7,0,0,0.8016936665358643
8,1,1,1.0067314310592634
9,3,3,1.08669307981834
10,0,0,0.5401611379030978
11,1,1,0.0984666400291361
12,2,2,0.1382987260253019
13,1,1,0.4102077034141794
14,2,2,0.3431220985750957
15,0,0,0.7367731220567731
16,3,3,0.5236699383148361
17,2,2,0.3807921758160218
18,1,1,0.3673155466141767
19,3,3,0.607584561474807
20,0,0,0.4346974405922363
21,0,0,0.9622659327580096
22,2,2,0.314446803925307
23,3,3,0.4579545785909575
24,1,1,0.4376040459736132
25,0,0,0.3076046029112778
26,2,2,0.7738591708281072
27,3,3,0.4384006112326239
28,1,1,0.5818146309869415
29,1,1,0.4973842656872085
30,0,0,1.0725704012241766
31,2,2,0.4769738384383778
32,3,3,0.5270077049148231
33,3,3,0.4795331130585137
34,0,0,0.4653320838728489
35,1,1,0.4197947138874451
36,2,2,0.3908857826075347
37,2,2,0.1665915744749889
38,0,0,0.2079490469824924
39,3,3,0.3002145684981004
40,1,1,0.257093508441516
41,3,3,0.435653747135539
42,2,2,0.1716488933988404
43,1,1,0.3493460864786503
44,0,0,0.7947717628924342
45,3,3,0.1553118100089104
46,0,0,0.2348124085577253
47,1,1,0.3459575740194453
48,2,2,0.5546906160314349
49,3,3,0.2201401123911683
50,1,1,0.8930122881357736
51,0,0,0.3893368420412691
52,2,2,0.3332110355994787
53,3,3,0.7038691666486789
54,2,2,0.7003534781863185
55,1,1,1.553877100003689
56,0,0,0.5738252200713807
57,2,2,0.3535435965967334
58,3,3,0.5551099465979665
59,0,0,0.5032617093893172
60,1,1,0.817034436263855
61,2,2,0.3089775239934663
62,0,0,0.8565284346547458
63,3,3,0.5412617952664097
64,1,1,0.424675694372454
65,2,2,0.6069105495364052
66,1,1,0.6537224692281342
67,3,3,0.3741641669510194
68,0,0,0.3599036458881705
69,0,0,0.7161238604781447
70,3,3,0.6253957102831222
71,1,1,0.6912214676173172
72,2,2,1.261245611808604
73,0,0,0.4744588054528049
74,3,3,0.2869153006225392
75,2,1,0.4277533119409652
76,1,1,1.001163643078519
77,1,1,0.1224489505449841
78,3,3,0.534636665254124
79,2,2,0.6140394407361464
80,0,0,0.8630181957577763
81,0,0,1.1852102614563929
82,3,3,1.4743298182609803
83,2,2,0.5042097046240759
84,1,1,0.5147241140716763
85,2,2,0.4075468248133685
86,3,3,0.4691975218159979
87,0,0,0.3122969051554733
88,1,1,0.5277508454518861
89,1,1,0.5885665380991252
90,0,0,0.7289410972553612
91,2,2,1.1652993219038028
92,3,3,0.7145248606472728
93,1,1,0.3958977782907776
94,2,2,0.3072078995087575
95,0,0,0.3720443576757006
96,3,3,0.2637402649686519
97,3,3,0.3521844326542027
98,1,1,0.673440387176336
99,0,0,0.3462886286282289
100,2,2,1.3316078501740292
101,1,1,0.2588884792142512
102,3,3,0.5455977771741871
103,0,0,0.4557372014204821
104,2,2,0.1671547425462193
105,0,0,0.2485386784234126
106,3,3,0.5666295208984151
107,2,3,0.2517550764180516
108,1,1,0.5602522369848233
109,0,0,0.2043567179718416
110,3,3,0.3780064112715894
111,2,2,0.8797608975215289
112,1,1,0.4961161237467696
113,1,1,0.737075592531018
114,3,3,1.1088967885120795
115,0,0,0.6076480827854922
116,2,2,1.0216446555457268
117,0,0,0.5823474030999669
118,1,1,0.4781389663605077
119,2,1,0.3101505226875026
120,3,3,0.2727876114195667
121,0,0,0.5781194016905834
122,2,2,0.4537441217459635
123,3,3,0.3366193274937913
124,1,1,0.5040476165666906
125,3,3,0.3977895362711356
126,1,1,0.4223081647287689
127,0,0,0.3113831488114862
128,2,2,0.7544856410629066
129,2,2,0.652880911222794
130,0,0,0.417387167352124
131,1,1,0.8114299169457452
132,3,3,0.2713411273304503
133,2,2,0.3780674892611532
134,1,1,0.9934762082236782
135,3,3,0.4370530541233
136,0,0,0.1764820651985341
137,2,2,0.4168168261239807
138,1,1,0.4980418966695929
139,3,3,0.3173081689603422
140,0,0,0.3992589351743107
141,0,0,0.7161689342456838
142,2,1,0.3613642690207639
143,1,1,0.903174369893843
144,3,3,0.5065300324680435
145,2,2,0.6151136147454668
146,1,1,0.2331981152517545
147,0,0,0.5341049776554544
148,3,3,0.3580133768017081
149,2,2,1.0556565992953917
150,3,3,0.34500719148211
151,0,0,0.859757231842118
152,1,1,0.8631064527912895
153,2,2,0.2563932195084176
154,1,1,0.9732542064365538
155,0,0,0.8820634252359839
156,3,3,0.1529007130252325
157,1,1,3.4221046715065127
158,2,2,0.5060081939786472
159,3,3,0.3130206939371288
160,0,0,0.3826993749800125
