trial,true_label_x,pred_label,win_global,theta_alpha,true_label_y
1,1,1,1,3.5439079272749644e-06,1
2,1,1,2,3.3419466166503064e-06,1
3,1,0,3,2.9974379135397058e-06,1
4,0,0,4,6.1935673249584406e-06,0
5,0,0,5,4.11165600436868e-06,0
6,0,0,6,6.093481036602032e-06,0
7,0,0,7,3.640792569876519e-06,0
8,0,0,8,7.369880799618416e-06,0
9,0,0,9,5.592995151392842e-06,0
10,0,0,10,3.8577964796270155e-06,0
11,0,0,11,4.203581970337903e-06,0
12,0,0,12,4.037446446999844e-06,0
13,0,0,13,8.88214956183176e-06,0
14,0,0,14,6.789031424135094e-06,0
15,0,0,15,5.444664150382507e-06,0
16,0,0,16,5.069354665237156e-06,0
17,0,0,17,3.4819653172943932e-06,0
18,0,0,18,3.5957576787698902e-06,0
19,0,0,19,9.852389744478791e-06,0
20,0,0,20,9.445066767932526e-06,0
21,0,0,21,7.712828609549242e-06,0
22,0,0,22,2.737602928084457e-06,0
23,0,0,23,4.160165916375726e-06,0
24,0,0,24,5.570694764734991e-06,0
25,0,0,25,2.582916013730015e-06,0
26,0,0,26,3.3584001133060535e-06,0
27,0,0,27,3.909823624765707e-06,0
28,0,0,28,3.1858862190648763e-06,0
29,0,0,29,5.030753217491772e-06,0
30,0,0,30,5.398469407491298e-06,0
31,0,0,31,6.003333506712036e-06,0
32,0,0,32,6.411301863988908e-06,0
33,0,0,33,7.007505421506896e-06,0
34,0,0,34,5.170508528168328e-06,0
35,0,0,35,6.141707554664205e-06,0
36,0,0,36,6.704579326761315e-06,0
37,0,0,37,3.307519925466604e-06,0
38,0,0,38,3.6777150320141593e-06,0
39,0,0,39,5.279259181283158e-06,0
40,0,0,40,2.3555896738120154e-06,0
41,0,0,41,3.1383730558164115e-06,0
42,0,0,42,2.804998197725407e-06,0
43,0,0,43,3.273076000345556e-06,0
44,0,0,44,3.916492418818282e-06,0
45,0,0,45,3.294185264201556e-06,0
46,0,0,46,1.9278012818131896e-06,0
47,0,0,47,1.5739430270679132e-06,0
48,0,0,48,1.8948347952027085e-06,0
49,0,0,49,2.411525349033293e-06,0
50,0,0,50,2.45369233085891e-06,0
51,0,0,51,3.7908003239702858e-06,0
52,0,0,52,4.8387514366256e-06,0
53,0,0,53,6.388479431444769e-06,0
54,0,0,54,3.8055195393400944e-06,0
55,0,0,55,6.773164353560751e-06,0
56,0,0,56,1.014874816653104e-05,0
57,0,0,57,9.88861854467792e-06,0
58,1,1,58,5.686741874368386e-06,1
59,1,1,59,1.0120374921236889e-05,1
60,1,1,60,7.801561353630484e-06,1
61,0,0,61,2.1724569849880197e-06,0
62,0,0,62,2.0642580922162305e-06,0
63,0,0,63,2.293084590973591e-06,0
64,0,0,64,1.7771026155799158e-06,0
65,0,0,65,3.6450719472574066e-06,0
66,0,0,66,3.882024520735693e-06,0
67,0,0,67,1.370990276675094e-06,0
68,0,0,68,1.5691944584258096e-06,0
69,0,0,69,1.9974170082709e-06,0
70,0,0,70,4.721741137150663e-06,0
71,0,0,71,4.396273958993873e-06,0
72,0,0,72,5.087788478876781e-06,0
73,0,0,73,3.112570230115167e-06,0
74,0,0,74,2.8667647099056337e-06,0
75,0,0,75,2.8121524835573575e-06,0
76,0,0,76,1.3404297928803082e-06,0
77,0,0,77,2.2912586969186437e-06,0
78,0,0,78,2.6806846731462765e-06,0
79,0,0,79,2.786938137340295e-06,0
80,0,0,80,3.2307326490135436e-06,0
81,0,0,81,4.574170904668192e-06,0
82,0,0,82,1.12107502720495e-06,0
83,0,0,83,7.927039680345309e-07,0
84,0,0,84,2.461306147745879e-06,0
85,0,0,85,1.1061746491092424e-06,0
86,0,0,86,1.4526815915813768e-06,0
87,0,0,87,2.7546118388133225e-06,0
88,0,0,88,2.981213133123291e-06,0
89,0,0,89,2.4419824036354605e-06,0
90,0,0,90,2.5630283003327544e-06,0
91,0,0,91,1.6507194763663156e-06,0
92,0,0,92,3.0055598989713936e-06,0
93,0,0,93,2.7514377772297104e-06,0
94,0,0,94,3.77641703571118e-06,0
95,0,0,95,3.745464503732307e-06,0
96,0,0,96,1.8347874596028096e-06,0
97,0,0,97,2.508937924975872e-06,0
98,0,0,98,3.034562186228899e-06,0
99,0,0,99,2.3527472211278486e-06,0
100,0,0,100,7.808304636685317e-06,0
101,0,0,101,1.152225129771309e-05,0
102,0,0,102,4.313615314947574e-06,0
103,0,0,103,1.2980910750995842e-05,0
104,0,0,104,6.374588012031257e-06,0
105,0,0,105,1.708407558882857e-06,0
106,0,0,106,2.5601638551708316e-06,0
107,0,0,107,3.1849984466142163e-06,0
108,0,0,108,3.89483075112553e-06,0
109,0,0,109,5.5395697532054785e-06,0
110,0,0,110,5.453298067248464e-06,0
111,0,0,111,4.465875415722218e-06,0
