subject,run,trial,win_idx,theta_alpha,true_label,global_win
2,B0204E,1,1,3.5439079272749644e-06,1,1
2,B0204E,1,2,3.3419466166503064e-06,1,2
2,B0204E,1,3,2.9974379135397058e-06,1,3
2,B0204E,2,1,6.1935673249584406e-06,0,4
2,B0204E,2,2,4.1116560043686804e-06,0,5
2,B0204E,2,3,6.093481036602032e-06,0,6
2,B0204E,3,1,3.6407925698765194e-06,0,7
2,B0204E,3,2,7.369880799618416e-06,0,8
2,B0204E,3,3,5.592995151392842e-06,0,9
2,B0204E,4,1,3.8577964796270155e-06,0,10
2,B0204E,4,2,4.203581970337903e-06,0,11
2,B0204E,4,3,4.037446446999844e-06,0,12
2,B0204E,5,1,8.88214956183176e-06,0,13
2,B0204E,5,2,6.789031424135094e-06,0,14
2,B0204E,5,3,5.444664150382507e-06,0,15
2,B0204E,6,1,5.069354665237156e-06,0,16
2,B0204E,6,2,3.4819653172943932e-06,0,17
2,B0204E,6,3,3.5957576787698906e-06,0,18
2,B0204E,7,1,9.852389744478793e-06,0,19
2,B0204E,7,2,9.445066767932526e-06,0,20
2,B0204E,7,3,7.712828609549242e-06,0,21
2,B0204E,8,1,2.737602928084457e-06,0,22
2,B0204E,8,2,4.160165916375726e-06,0,23
2,B0204E,8,3,5.570694764734991e-06,0,24
2,B0204E,9,1,2.582916013730015e-06,0,25
2,B0204E,9,2,3.3584001133060535e-06,0,26
2,B0204E,9,3,3.909823624765707e-06,0,27
2,B0204E,10,1,3.1858862190648763e-06,0,28
2,B0204E,10,2,5.030753217491772e-06,0,29
2,B0204E,10,3,5.398469407491298e-06,0,30
2,B0204E,11,1,6.003333506712036e-06,0,31
2,B0204E,11,2,6.411301863988908e-06,0,32
2,B0204E,11,3,7.007505421506896e-06,0,33
2,B0204E,12,1,5.170508528168328e-06,0,34
2,B0204E,12,2,6.141707554664205e-06,0,35
2,B0204E,12,3,6.704579326761315e-06,0,36
2,B0204E,13,1,3.307519925466604e-06,0,37
2,B0204E,13,2,3.6777150320141593e-06,0,38
2,B0204E,13,3,5.279259181283158e-06,0,39
2,B0204E,14,1,2.3555896738120154e-06,0,40
2,B0204E,14,2,3.1383730558164115e-06,0,41
2,B0204E,14,3,2.8049981977254074e-06,0,42
2,B0204E,15,1,3.2730760003455562e-06,0,43
2,B0204E,15,2,3.916492418818282e-06,0,44
2,B0204E,15,3,3.294185264201556e-06,0,45
2,B0204E,16,1,1.9278012818131896e-06,0,46
2,B0204E,16,2,1.5739430270679132e-06,0,47
2,B0204E,16,3,1.8948347952027083e-06,0,48
2,B0204E,17,1,2.411525349033293e-06,0,49
2,B0204E,17,2,2.45369233085891e-06,0,50
2,B0204E,17,3,3.7908003239702858e-06,0,51
2,B0204E,18,1,4.8387514366256e-06,0,52
2,B0204E,18,2,6.388479431444769e-06,0,53
2,B0204E,18,3,3.8055195393400944e-06,0,54
2,B0204E,19,1,6.773164353560751e-06,0,55
2,B0204E,19,2,1.014874816653104e-05,0,56
2,B0204E,19,3,9.88861854467792e-06,0,57
2,B0205E,1,1,5.686741874368386e-06,1,58
2,B0205E,1,2,1.0120374921236887e-05,1,59
2,B0205E,1,3,7.801561353630484e-06,1,60
2,B0205E,2,1,2.1724569849880197e-06,0,61
2,B0205E,2,2,2.0642580922162305e-06,0,62
2,B0205E,2,3,2.2930845909735914e-06,0,63
2,B0205E,3,1,1.7771026155799158e-06,0,64
2,B0205E,3,2,3.6450719472574066e-06,0,65
2,B0205E,3,3,3.882024520735693e-06,0,66
2,B0205E,4,1,1.370990276675094e-06,0,67
2,B0205E,4,2,1.5691944584258096e-06,0,68
2,B0205E,4,3,1.9974170082708998e-06,0,69
2,B0205E,5,1,4.721741137150663e-06,0,70
2,B0205E,5,2,4.396273958993873e-06,0,71
2,B0205E,5,3,5.087788478876781e-06,0,72
2,B0205E,6,1,3.112570230115167e-06,0,73
2,B0205E,6,2,2.8667647099056337e-06,0,74
2,B0205E,6,3,2.8121524835573575e-06,0,75
2,B0205E,7,1,1.3404297928803082e-06,0,76
2,B0205E,7,2,2.2912586969186437e-06,0,77
2,B0205E,7,3,2.6806846731462765e-06,0,78
2,B0205E,8,1,2.786938137340295e-06,0,79
2,B0205E,8,2,3.2307326490135436e-06,0,80
2,B0205E,8,3,4.574170904668192e-06,0,81
2,B0205E,9,1,1.1210750272049499e-06,0,82
2,B0205E,9,2,7.927039680345309e-07,0,83
2,B0205E,9,3,2.4613061477458794e-06,0,84
2,B0205E,10,1,1.1061746491092424e-06,0,85
2,B0205E,10,2,1.4526815915813768e-06,0,86
2,B0205E,10,3,2.7546118388133225e-06,0,87
2,B0205E,11,1,2.981213133123291e-06,0,88
2,B0205E,11,2,2.4419824036354605e-06,0,89
2,B0205E,11,3,2.5630283003327544e-06,0,90
2,B0205E,12,1,1.6507194763663156e-06,0,91
2,B0205E,12,2,3.0055598989713936e-06,0,92
2,B0205E,12,3,2.7514377772297104e-06,0,93
2,B0205E,13,1,3.7764170357111803e-06,0,94
2,B0205E,13,2,3.745464503732307e-06,0,95
2,B0205E,13,3,1.8347874596028098e-06,0,96
2,B0205E,14,1,2.508937924975872e-06,0,97
2,B0205E,14,2,3.034562186228899e-06,0,98
2,B0205E,14,3,2.3527472211278486e-06,0,99
