trial,true_label,pred_label
1,2,2
2,3,3
3,0,0
4,1,1
5,1,1
6,3,3
7,2,2
8,0,0
9,3,3
10,0,0
11,2,2
12,1,1
13,0,0
14,3,3
15,2,2
16,1,1
17,3,3
18,1,1
19,0,0
20,2,2
21,3,3
22,0,0
23,1,1
24,2,2
25,0,0
26,3,3
27,1,1
28,2,2
29,3,3
30,0,0
31,2,2
32,1,1
33,3,3
34,1,1
35,2,2
36,0,0
37,0,0
38,2,2
39,3,3
40,1,1
41,0,0
42,1,1
43,3,3
44,2,2
45,0,0
46,3,3
47,1,1
48,2,2
49,2,2
50,0,0
51,1,1
52,3,3
53,3,3
54,0,0
55,2,2
56,1,1
57,3,3
58,0,0
59,1,1
60,2,2
61,2,2
62,1,1
63,3,3
64,0,0
65,3,3
66,1,1
67,0,0
68,2,2
69,0,2
70,1,1
71,3,3
72,2,2
73,3,3
74,0,0
75,1,1
76,2,2
77,3,3
78,2,2
79,1,1
80,0,0
81,0,0
82,2,2
83,1,1
84,3,3
85,3,3
86,2,2
87,1,1
88,0,0
89,2,2
90,0,0
91,3,3
92,1,1
93,2,2
94,0,0
95,3,3
96,1,1
97,2,2
98,1,1
99,0,0
100,3,3
101,0,0
102,1,1
103,2,2
104,3,3
105,2,2
106,0,0
107,3,3
108,1,1
109,0,0
110,2,2
111,3,3
112,1,1
113,1,1
114,2,2
115,3,3
116,0,0
117,2,2
118,3,3
119,0,0
120,1,1
121,0,0
122,2,2
123,3,3
124,1,1
125,2,2
126,3,3
127,1,1
128,0,0
129,3,3
130,1,1
131,0,0
132,2,2
133,0,0
134,1,1
135,3,3
136,2,2
137,1,1
138,0,0
139,3,3
140,2,2
141,3,3
142,2,2
143,1,1
144,0,0
145,0,0
146,1,1
147,3,3
148,2,2
149,2,2
150,0,0
151,3,3
152,1,1
153,1,0
154,3,3
155,2,2
156,0,0
157,2,2
158,0,0
159,1,1
160,3,3
