trial,true_label_x,pred_label,win_global,theta_alpha,true_label_y
1,1,0,1,1.3532943011396048e-06,1
2,1,0,2,3.7011239061691378e-06,1
3,1,1,3,2.5465967396974347e-06,1
4,1,1,4,2.0112124837366717e-06,1
5,1,1,5,2.059474292881032e-06,1
6,1,1,6,3.5096557166497436e-06,1
7,1,1,7,3.3328096913942593e-06,1
8,1,1,8,3.479296669969777e-06,1
9,1,1,9,4.702975001549127e-06,1
10,0,0,10,4.4398234524214685e-06,0
11,0,0,11,2.960889670376496e-06,0
12,0,0,12,3.1639773176828893e-06,0
13,1,1,13,3.372565179234762e-06,1
14,1,1,14,4.619478226400001e-06,1
15,1,1,15,7.164893977715906e-06,1
16,0,0,16,2.5772310460757627e-06,0
17,0,0,17,3.5739954715371965e-06,0
18,0,0,18,2.0811365324237467e-06,0
19,0,0,19,4.7531061510118045e-06,0
20,0,0,20,6.555711387820297e-06,0
21,0,0,21,7.318840929933721e-06,0
22,0,0,22,1.2887255436964526e-06,0
23,0,0,23,1.01544761707108e-06,0
24,0,1,24,1.4140207423965522e-06,0
25,1,1,25,9.947939697497671e-06,1
26,1,1,26,4.89616694208359e-06,1
27,1,1,27,2.6101414297264456e-06,1
28,0,0,28,3.970989044873258e-06,0
29,0,0,29,2.7747352330018064e-06,0
30,0,0,30,2.1642600516857323e-06,0
31,0,0,31,1.5709167073078945e-05,0
32,0,0,32,6.836401711613555e-06,0
33,0,0,33,3.648166277151149e-06,0
34,0,0,34,7.672523618487928e-06,0
35,0,0,35,7.299452395414803e-06,0
36,0,0,36,4.063888699822769e-06,0
37,0,0,37,6.167723767209802e-06,0
38,0,0,38,7.080496190577912e-06,0
39,0,0,39,1.50676200826232e-05,0
40,0,0,40,2.6541144072681427e-06,0
41,0,0,41,1.7092946395909876e-06,0
42,0,0,42,2.5291808238425063e-06,0
43,0,0,43,5.889962675510538e-06,0
44,0,0,44,3.655538364763907e-06,0
45,0,0,45,5.52822599214363e-06,0
46,0,0,46,3.8082950559384058e-06,0
47,0,0,47,5.695074486591774e-06,0
48,0,0,48,6.54706879460012e-06,0
49,0,0,49,5.645924698423565e-06,0
50,0,0,50,5.2586192988484435e-06,0
51,0,0,51,3.975212658248e-06,0
52,0,0,52,3.260380264793114e-06,0
53,0,0,53,3.551362993533709e-06,0
54,0,0,54,1.9358583982851596e-06,0
55,0,0,55,4.136220690627214e-06,0
56,0,0,56,1.180308229018905e-05,0
57,0,0,57,1.4830954039695704e-05,0
58,0,0,58,4.88194604206012e-06,0
59,0,0,59,3.5399837354809715e-06,0
60,0,0,60,3.062513427788582e-06,0
61,0,0,61,4.737449273337746e-06,0
62,0,0,62,4.076218332830478e-06,0
63,0,0,63,5.474008849605224e-06,0
64,0,0,64,5.214310315512979e-06,0
65,0,0,65,3.70588561763514e-06,0
66,0,0,66,3.006241134374291e-06,0
67,0,0,67,3.3865482606736477e-06,0
68,0,0,68,3.124282238285837e-06,0
69,0,0,69,3.933961653407147e-06,0
70,0,0,70,3.668765826060139e-06,0
71,0,0,71,5.1309417607114816e-06,0
72,0,0,72,4.92833408091103e-06,0
73,0,0,73,5.634988789725578e-06,0
