trial,true_label,pred_label
1,3,3
2,2,2
3,1,1
4,0,0
5,0,0
6,1,1
7,2,2
8,3,3
9,1,1
10,2,2
11,0,0
12,0,0
13,0,0
14,3,3
15,1,0
16,1,1
17,0,0
18,0,0
19,2,2
20,0,0
21,1,1
22,3,2
23,3,3
24,2,2
25,0,0
26,3,1
27,3,2
28,1,2
29,3,3
30,3,3
31,1,1
32,0,0
33,1,1
34,2,2
35,2,2
36,2,3
37,3,3
38,2,2
39,0,0
40,3,3
41,1,1
42,2,2
43,1,1
44,2,2
45,3,3
46,1,1
47,2,2
48,0,0
49,0,0
50,0,0
51,3,3
52,1,1
53,0,0
54,2,2
55,0,0
56,2,2
57,1,1
58,3,3
59,0,0
60,2,2
61,2,2
62,0,0
63,2,2
64,1,1
65,3,3
66,3,3
67,3,3
68,2,2
69,0,0
70,3,3
71,1,2
72,3,3
73,1,1
74,0,0
75,2,2
76,1,1
77,0,0
78,2,2
79,2,2
80,0,0
81,2,2
82,3,2
83,3,3
84,1,1
85,0,0
86,1,1
87,3,3
88,1,1
89,3,3
90,2,2
91,1,1
92,1,2
93,1,3
94,2,2
95,3,2
96,0,0
97,1,1
98,3,3
99,0,0
100,2,2
101,2,2
102,3,3
103,0,0
104,0,0
105,2,2
106,1,1
107,3,3
108,3,3
109,3,2
110,1,1
111,0,0
112,2,2
113,1,1
114,3,3
115,0,0
116,3,3
117,2,2
118,1,1
119,3,3
120,3,3
121,0,0
122,1,1
123,1,1
124,2,2
125,3,3
126,1,1
127,0,0
128,0,2
129,3,3
130,1,1
131,0,0
132,2,2
133,1,1
134,1,1
135,2,2
136,0,0
137,3,3
138,2,2
139,2,2
140,2,2
141,2,2
142,0,3
143,1,1
144,0,0
145,1,1
146,0,0
147,0,0
148,2,2
149,2,2
150,1,1
151,2,2
152,3,3
153,0,0
154,3,3
155,0,2
156,0,0
157,1,1
158,3,3
159,2,2
160,1,3
161,3,3
162,2,2
163,3,2
164,2,2
165,3,3
166,1,1
167,1,3
168,3,3
169,0,0
170,1,1
171,1,1
172,1,1
173,2,2
174,3,3
175,0,0
176,3,2
177,0,0
178,2,2
179,0,0
180,3,3
181,0,0
182,2,2
183,0,3
184,1,1
185,2,3
186,2,2
187,3,3
188,0,0
189,1,1
190,3,3
191,1,1
192,2,2
193,2,2
194,0,0
195,3,3
196,1,1
197,3,3
198,0,0
199,0,2
200,2,2
201,2,2
202,1,1
203,3,3
204,1,1
205,1,1
206,0,0
207,1,1
208,3,3
209,3,3
210,1,1
211,1,1
212,1,1
213,1,1
214,3,3
215,3,3
216,2,2
217,3,3
218,0,3
219,1,3
220,2,2
221,1,1
222,0,2
223,3,3
224,0,0
225,3,2
226,0,0
227,0,0
228,0,0
229,0,0
230,2,2
231,2,3
232,3,3
233,1,1
234,2,3
235,2,2
236,2,2
237,3,3
238,2,2
239,0,0
240,2,2
241,0,0
242,3,3
243,1,1
244,3,3
245,3,3
246,2,2
247,3,3
248,3,3
249,2,2
250,1,1
251,3,3
252,2,2
253,0,0
254,1,1
255,1,1
256,1,1
257,2,2
258,1,1
259,3,3
260,2,2
261,3,3
262,1,1
263,2,2
264,0,0
265,3,3
266,0,0
267,2,2
268,3,3
269,0,3
270,2,2
271,0,0
272,1,1
273,1,1
274,0,0
275,3,3
276,0,3
277,3,3
278,2,2
279,2,2
280,0,0
281,2,2
282,1,1
283,1,1
284,0,0
285,2,2
286,0,2
287,1,1
288,0,0
