trial,true_label,pred_label
1,0,0
2,2,2
3,3,3
4,1,1
5,0,0
6,2,2
7,1,1
8,3,3
9,0,0
10,2,2
11,3,3
12,1,1
13,3,3
14,1,1
15,0,0
16,2,2
17,0,0
18,1,1
19,2,2
20,3,3
21,2,2
22,0,0
23,1,1
24,3,3
25,3,2
26,0,0
27,1,1
28,2,2
29,3,3
30,1,1
31,0,0
32,2,2
33,0,0
34,2,2
35,1,1
36,3,3
37,3,3
38,0,0
39,2,2
40,1,1
41,2,2
42,0,0
43,1,1
44,3,3
45,1,1
46,0,0
47,2,2
48,3,3
49,0,0
50,3,3
51,2,2
52,1,1
53,3,3
54,1,1
55,0,0
56,2,2
57,2,2
58,3,3
59,1,1
60,0,0
61,1,1
62,3,3
63,2,2
64,0,0
65,0,0
66,1,1
67,2,2
68,3,3
69,0,0
70,1,1
71,3,3
72,2,2
73,0,0
74,2,2
75,1,1
76,3,3
77,3,3
78,1,1
79,0,0
80,2,2
81,2,2
82,0,0
83,3,3
84,1,1
85,0,0
86,3,3
87,1,1
88,2,2
89,0,0
90,2,2
91,3,3
92,1,1
93,1,1
94,0,0
95,2,2
96,3,3
97,1,1
98,3,3
99,0,0
100,2,2
101,1,1
102,2,2
103,3,3
104,0,0
105,3,3
106,0,0
107,2,2
108,1,1
109,3,2
110,2,2
111,0,0
112,1,1
113,3,3
114,2,2
115,1,1
116,0,0
117,0,0
118,1,1
119,3,3
120,2,2
121,0,0
122,1,1
123,3,3
124,2,2
125,3,3
126,1,1
127,0,0
128,2,2
129,2,2
130,3,3
131,1,1
132,0,0
133,2,2
134,0,0
135,3,3
136,1,1
137,0,0
138,1,1
139,3,3
140,2,2
141,3,3
142,2,2
143,1,1
144,0,0
145,2,2
146,0,0
147,1,1
148,3,3
149,3,3
150,2,2
151,0,0
152,1,1
153,1,1
154,3,3
155,2,2
156,0,0
157,1,1
158,3,3
159,0,0
160,2,2
