trial,true_label,pred_label
1,1,0
2,3,3
3,2,2
4,0,0
5,0,0
6,2,2
7,3,3
8,1,1
9,2,2
10,0,0
11,1,1
12,3,3
13,3,3
14,0,0
15,1,1
16,2,2
17,1,1
18,3,3
19,0,0
20,2,2
21,3,3
22,1,1
23,2,2
24,0,0
25,1,1
26,3,3
27,0,0
28,2,2
29,0,0
30,2,2
31,1,1
32,3,3
33,3,3
34,0,0
35,2,2
36,1,1
37,0,0
38,2,2
39,1,1
40,3,3
41,3,3
42,2,2
43,1,1
44,0,0
45,1,1
46,2,2
47,3,3
48,0,0
49,1,1
50,3,3
51,0,2
52,2,2
53,1,1
54,0,0
55,2,2
56,3,3
57,2,2
58,0,2
59,1,1
60,3,3
61,2,2
62,1,0
63,0,0
64,3,3
65,3,3
66,0,0
67,1,1
68,2,2
69,2,2
70,3,3
71,0,0
72,1,1
73,1,1
74,2,2
75,0,0
76,3,3
77,2,2
78,1,1
79,0,0
80,3,3
81,0,0
82,3,3
83,1,1
84,2,2
85,1,1
86,0,0
87,3,3
88,2,2
89,2,2
90,0,0
91,3,3
92,1,1
93,1,1
94,3,3
95,2,2
96,0,0
97,0,0
98,2,2
99,3,3
100,1,1
101,3,3
102,0,0
103,2,2
104,1,1
105,1,1
106,0,0
107,3,3
108,2,2
109,1,1
110,3,3
111,2,2
112,0,0
113,2,2
114,3,3
115,0,0
116,1,1
117,2,2
118,3,3
119,1,1
120,0,0
121,3,3
122,2,0
123,1,1
124,0,0
125,1,1
126,3,3
127,2,2
128,0,0
129,0,0
130,2,0
131,3,3
132,2,0
133,3,3
134,0,0
135,1,1
136,1,1
137,0,0
138,2,2
139,3,3
140,0,0
141,3,3
142,1,1
143,2,2
144,3,0
145,2,2
146,0,0
147,1,1
148,0,0
149,1,1
150,2,2
151,3,3
152,3,3
153,2,2
154,1,1
155,0,0
156,2,2
157,0,0
158,3,3
159,1,1
