subject,run,trial,win_idx,theta_alpha,true_label,global_win
1,B0104E,1,1,1.3479927817303643e-06,1,1
1,B0104E,1,2,2.216754678806587e-06,1,2
1,B0104E,1,3,1.7907121872069233e-06,1,3
1,B0104E,2,1,3.2953227787991115e-06,0,4
1,B0104E,2,2,2.5365922419673316e-06,0,5
1,B0104E,2,3,2.432723886175872e-06,0,6
1,B0104E,3,1,1.9309371373855223e-06,0,7
1,B0104E,3,2,1.9004267885638127e-06,0,8
1,B0104E,3,3,2.4119157210519666e-06,0,9
1,B0104E,4,1,1.986533325114604e-06,0,10
1,B0104E,4,2,2.70460718884625e-06,0,11
1,B0104E,4,3,1.5684853554156192e-06,0,12
1,B0104E,5,1,1.9215255745099477e-06,0,13
1,B0104E,5,2,2.264063687053777e-06,0,14
1,B0104E,5,3,2.5283150785144707e-06,0,15
1,B0104E,6,1,1.688549599990296e-06,0,16
1,B0104E,6,2,1.3106132530541945e-06,0,17
1,B0104E,6,3,1.1457973253757987e-06,0,18
1,B0104E,7,1,2.404765677624038e-06,0,19
1,B0104E,7,2,3.301633784847444e-06,0,20
1,B0104E,7,3,3.958675909552932e-06,0,21
1,B0104E,8,1,1.5715641795045874e-06,0,22
1,B0104E,8,2,2.0745413288481584e-06,0,23
1,B0104E,8,3,1.6771153439536385e-06,0,24
1,B0104E,9,1,1.3087268043981892e-06,0,25
1,B0104E,9,2,8.498522561317931e-07,0,26
1,B0104E,9,3,1.4455489141932175e-06,0,27
1,B0104E,10,1,1.7278709187303863e-06,0,28
1,B0104E,10,2,2.506004092233425e-06,0,29
1,B0104E,10,3,3.7737174488894097e-06,0,30
1,B0104E,11,1,1.0124590401049208e-06,0,31
1,B0104E,11,2,1.6608416560037798e-06,0,32
1,B0104E,11,3,2.0014468365358467e-06,0,33
1,B0104E,12,1,1.9561813423230434e-06,0,34
1,B0104E,12,2,2.9628811257935683e-06,0,35
1,B0104E,12,3,2.050080045662631e-06,0,36
1,B0104E,13,1,2.026752071221804e-06,0,37
1,B0104E,13,2,1.5849121094481487e-06,0,38
1,B0104E,13,3,2.6262323297018466e-06,0,39
1,B0104E,14,1,1.5997119311305454e-06,0,40
1,B0104E,14,2,1.8337092621031303e-06,0,41
1,B0104E,14,3,2.0600895316275e-06,0,42
1,B0104E,15,1,2.449700969788447e-06,0,43
1,B0104E,15,2,3.296524114394372e-06,0,44
1,B0104E,15,3,2.2409727335514044e-06,0,45
1,B0104E,16,1,4.202742934766037e-06,0,46
1,B0104E,16,2,3.2626160325633303e-06,0,47
1,B0104E,16,3,2.131789965921993e-06,0,48
1,B0104E,17,1,1.1430804793056054e-06,0,49
1,B0104E,17,2,1.945819760176653e-06,0,50
1,B0104E,17,3,1.9594835510784545e-06,0,51
