trial,label,theta_alpha,channel_idx
1,0,0.9249723232817634,11
2,1,1.262033472388864,11
3,1,1.0646670071386581,11
4,0,1.5172910999411957,11
5,1,0.4629460810595659,11
6,0,0.6995675262946333,11
7,1,0.6472018435093639,11
8,2,0.6824671455813945,11
9,1,1.3109283681408332,11
10,3,0.48979378982228483,11
11,0,0.3992670944739253,11
12,2,1.0375345112655159,11
13,1,0.6756921955921064,11
14,0,0.49475908143447683,11
15,3,0.4407910600852366,11
16,3,0.9515230698972276,11
17,3,0.5550704238797287,11
18,3,1.0377300594317784,11
19,3,0.8520232721594169,11
20,0,0.4956253324485032,11
21,2,0.6971464238519212,11
22,1,1.3661817992246585,11
23,0,0.862581334716703,11
24,0,1.0124430790412366,11
25,2,0.798997428940194,11
26,3,0.7957568766936066,11
27,0,1.4799981720611903,11
28,2,1.2483263921455239,11
29,2,1.2072819745074042,11
30,2,0.6681968517164145,11
31,0,0.39379438915851805,11
32,1,0.25449342007206055,11
33,0,0.7685890432451099,11
34,1,0.8789406963733952,11
35,1,0.9995857150902826,11
36,0,0.7478040896930639,11
37,1,1.0130665700584434,11
38,2,1.1501764020916474,11
39,1,0.5651127761968195,11
40,2,0.35356023961236877,11
41,2,0.3926902608916428,11
42,3,0.7958424343321326,11
43,2,1.0829587435767674,11
44,2,0.7900272468380142,11
45,3,0.7063897961406448,11
46,3,0.39565765685144483,11
47,3,0.7218306811514176,11
48,3,0.32320232423433576,11
49,3,0.7798500869219989,11
50,2,1.2706712447982451,11
51,1,0.74803066296451,11
52,0,0.6365866900190357,11
53,0,0.38379875110549233,11
54,1,0.42415229783217995,11
55,2,0.5054057530028766,11
56,3,1.4217054121807697,11
57,1,2.3197875192763413,11
58,2,0.9231454956650716,11
59,0,0.8130834239967004,11
60,0,0.37506949623481567,11
61,0,0.5023311917546252,11
62,3,1.2107273585095277,11
63,1,0.5820489378960751,11
64,1,0.36600276506258494,11
65,0,0.6328203668283054,11
66,0,0.9290105826769789,11
67,2,0.6919339543371101,11
68,0,1.9220994822949107,11
69,1,0.9006674309080481,11
70,3,0.7487234030852854,11
71,3,1.4176860720709052,11
72,2,0.3833645922321122,11
73,0,0.3962315273241974,11
74,3,0.4679569425681606,11
75,3,0.7127461245382821,11
76,1,0.7936987095600508,11
77,3,0.4189906074787596,11
78,3,0.6857530385539264,11
79,1,1.7163780435020357,11
80,0,0.36141724546061893,11
81,1,0.33159926135369877,11
82,2,0.5689716596187647,11
83,2,0.5130709140717611,11
84,2,1.089286760659462,11
85,3,0.5966250437471079,11
86,2,0.4928035094672245,11
87,0,1.4326057465532107,11
88,3,0.5807019548427533,11
89,1,0.74692856760113,11
90,2,1.2818968542175728,11
91,1,0.6094434966060182,11
92,2,0.3527101088462555,11
93,3,0.34783429230192864,11
94,1,0.6990009687127379,11
95,2,0.46979134001693523,11
96,0,0.37596456489090074,11
97,0,0.8180228660974396,11
98,0,3.403652814870237,11
99,3,1.1652049597687815,11
100,1,0.6681830590530319,11
101,0,0.35796921352987,11
102,2,0.7375398853080315,11
103,0,0.33306193266083656,11
104,2,1.5230255560606283,11
105,1,0.22194541096903547,11
106,3,0.3458716287556444,11
107,0,0.941444251222942,11
108,2,0.9705119707052409,11
109,2,0.3378982455724001,11
110,0,1.2789013933416205,11
111,2,0.41706336221070195,11
112,1,0.5845346978922569,11
113,3,0.5277328364268343,11
114,3,0.569033782141322,11
115,3,0.8133470085377206,11
116,2,0.8600133556239593,11
117,0,1.6010365697558004,11
118,3,0.41768042700228053,11
119,1,0.21243227420877808,11
120,3,0.4615296732548387,11
121,1,0.40599918455595735,11
122,0,0.7837937556449316,11
123,2,0.9077158690537227,11
124,1,0.878363356383331,11
125,0,1.0088194832513104,11
126,2,0.7970457426487879,11
127,2,0.3000275000043343,11
128,0,0.4848584583689518,11
129,2,0.3049565617639206,11
130,3,0.5457319663774305,11
131,3,0.32793805483130606,11
132,1,0.7862777954889837,11
133,0,0.8224097399544377,11
134,1,0.972513009508044,11
135,3,0.6311369994451318,11
136,1,0.474500629175559,11
137,3,0.3377305216490247,11
138,2,0.602624547268992,11
139,1,0.5841813516262193,11
140,1,0.5663006368162293,11
141,1,0.3052915131099679,11
142,2,0.4741251875680055,11
143,3,0.5670202720039726,11
144,0,0.7636523388352112,11
145,1,1.1141452704346135,11
146,3,0.3396922915967123,11
147,0,0.7378664533051218,11
148,2,0.9228488705688944,11
149,2,0.30413437460743514,11
150,3,0.40919935427384124,11
151,0,0.723947254522036,11
152,0,0.3959901457001034,11
153,2,0.6125349481037643,11
154,1,1.3372272200821045,11
155,3,0.31396580020373466,11
156,3,0.33044203501996944,11
157,3,0.8746521025145897,11
158,1,0.8725325547940417,11
159,0,0.48138703211682005,11
160,2,0.7021506616615247,11
161,1,1.005704676204259,11
162,3,1.049468057356723,11
163,0,1.136807804599346,11
164,3,0.4326971888202432,11
165,2,1.080095536272911,11
166,1,0.857656808336984,11
167,3,0.9611329000016995,11
168,3,1.181815951797567,11
169,0,0.3609968672119521,11
170,1,1.4195388028379716,11
171,1,0.3842329735918221,11
172,2,1.0097635396471791,11
173,3,0.6302016926392435,11
